"Название предмета";"Сезонность ниши";"Дата обнаружения";"Комиссия FBO";"Комиссия FBS";"Товары, шт.";"Количество новинок";"Товары с остатками, шт.";"% товаров с остатками";"Товары с движением, шт.";"% товаров с движением";"Товары с продажами, шт.";"% товаров с продажами";"% товаров с продажами от товаров с движением";"Бренды";"Бренды с продажами";"% брендов с продажами";"Продавцы";"Продавцы с продажами";"% продавцов с продажами";"Продажи, шт.";"Выручка, ₽";"Упущенная выручка, ₽";"Упущенная выручка %";"Потенциал, ₽";"Средний % выкупа";"Средний % выкупа с учётом возвратов";"Сумма выкупа, ₽";"Сумма выкупа с учётом возвратов, ₽";"Суммарные остатки, шт.";"Замороженный остаток, шт.";"Замороженный остаток в цене, ₽";"Замороженный остаток, %";"Оборачиваемость, дн.";"Минимальная цена, ₽";"Максимальная цена, ₽";"Средняя цена, ₽";"Медианная цена, ₽";"Минимальная цена с продажами, ₽";"Максимальная цена с продажами, ₽";"Средняя цена с продажами, ₽";"Медианная цена с продажами, ₽";"Средний рейтинг";"Средний рейтинг с продажами";"Средний дробный рейтинг";"Средний дробный рейтинг с продажами";"Количество кликов на карточку";"% добавления в корзину";"% оформления заказов"
"Одежда для малышей / Велосипедки для малышей";"2";"2021-02-15";"34,5";"38";"778";"40";"100";"12,85";"114";"14,65";"47";"6,04";"41,23";"52";"15";"28,85";"98";"20";"20,41";"372";"227257";"88019";"27,92";"315276";"100";"100";"227257";"227257";"3742";"3268";"1563355";"87,33";"302";"0";"20461";"1251,49";"745";"126";"1760";"510,98";"442";"4,82";"4,94";"4,72";"4,83";"2";"9,96";"4,83"
"Строительные материалы / Вагонки деревянные";"2";"2021-09-22";"20,5";"24";"2619";"538";"94";"3,59";"132";"5,04";"66";"2,52";"50";"73";"14";"19,18";"237";"19";"8,02";"200";"226906";"98693";"30,31";"325599";"100";"100";"226906";"226906";"384";"242";"405926";"63,02";"58";"0";"332813";"2560,78";"1370";"209";"6188";"1502,61";"1237,5";"4,75";"4,76";"4,67";"4,62";"3";"nan";"nan"
"Мебель мягкая / Наполнители мебельные";"2";"2022-01-15";"21,5";"25";"3384";"327";"76";"2,25";"147";"4,34";"91";"2,69";"61,9";"45";"14";"31,11";"363";"20";"5,51";"145";"226730";"29828";"11,63";"256558";"100";"100";"226730";"226730";"161";"131";"166844";"81,37";"33";"0";"325807";"2401,5";"1474";"247";"7205";"1654,02";"1237";"4,67";"4,79";"4,63";"4,71";"20";"4,26";"7,66"
"Электрика / Предохранители электрические";"2";"2022-03-10";"28,5";"32";"20519";"4673";"384";"1,87";"578";"2,82";"300";"1,46";"51,9";"184";"41";"22,28";"630";"71";"11,27";"1006";"226663";"89904";"28,4";"316567";"85,19";"78,7";"193094";"178384";"1277";"813";"304439";"63,66";"38";"0";"112045";"1231,57";"527,5";"47";"3501";"282,2";"162";"4,86";"4,9";"4,82";"4,84";"2";"7,65";"10,14"
"Спортивный товар / Сноуборды детские";"3";"2020-01-25";"27,5";"31";"2098";"245";"9";"0,43";"21";"1";"21";"1";"100";"54";"5";"9,26";"224";"8";"3,57";"231";"226394";"1287216";"85,04";"1513610";"77,27";"72,73";"174935";"164656";"24";"0";"0";"0";"3";"0";"900000";"25484,35";"4093,5";"476";"3420";"1276,24";"1245";"4,7";"4,86";"4,6";"4,66";"3";"4,4";"8,89"
"Профессиональные музыкальные инструменты / Напальчники для игры на гитаре";"2";"2020-07-06";"23,5";"27";"2808";"922";"37";"1,32";"52";"1,85";"40";"1,42";"76,92";"46";"10";"21,74";"214";"15";"7,01";"1033";"226024";"103242";"31,36";"329266";"80";"80";"180819";"180819";"2022";"774";"158814";"38,28";"59";"0";"115725";"1366,78";"407";"170";"11397";"555,38";"220";"4,79";"4,82";"4,63";"4,61";"2";"8,78";"10,81"
"Спортивные аксессуары / Карточки судейские";"2";"2021-03-05";"24,5";"28";"525";"122";"28";"5,33";"33";"6,29";"22";"4,19";"66,67";"36";"12";"33,33";"115";"13";"11,3";"866";"225894";"17749";"7,28";"243643";"92,31";"92,31";"208523";"208523";"620";"236";"83347";"38,06";"21";"0";"60800";"1322,06";"645";"88";"1060";"312,5";"228";"4,67";"5";"4,58";"4,85";"10";"15,68";"17,78"
"Одежда для малышей / Плащи для малышей";"3";"2020-01-25";"34,5";"38";"493";"54";"30";"6,09";"39";"7,91";"20";"4,06";"51,28";"63";"9";"14,29";"124";"11";"8,87";"103";"225383";"330700";"59,47";"556083";"0";"0";"0";"0";"387";"219";"521247";"56,59";"113";"72";"10746";"1978,53";"1811";"702";"8623";"2513,4";"1838";"4,81";"4,9";"4,75";"4,86";"1";"0,77";"nan"
"Профессиональные музыкальные инструменты / Наклейки для гитар";"2";"2020-01-29";"28,5";"32";"6383";"1854";"120";"1,88";"199";"3,12";"136";"2,13";"68,34";"75";"24";"32";"254";"32";"12,6";"656";"224830";"48904";"17,87";"273734";"90,91";"90,91";"204393";"204393";"1638";"1073";"380706";"65,51";"75";"0";"188075";"632,03";"403";"54";"1277";"363,01";"327";"4,82";"4,95";"4,75";"4,84";"15";"11,77";"17,76"
"Канцелярские товары / Холдеры для коллекционирования";"2";"2021-01-28";"24,5";"28";"3103";"592";"105";"3,38";"148";"4,77";"100";"3,22";"67,57";"43";"10";"23,26";"187";"14";"7,49";"651";"224803";"77986";"25,76";"302789";"100";"100";"224803";"224803";"1523";"831";"501346";"54,56";"70";"0";"429505";"1343,11";"567";"67";"2087";"414,46";"277";"4,9";"4,96";"4,87";"4,92";"nan";"nan";"nan"
"Спортивный товар / Компрессы спортивные";"2";"2020-01-25";"27,5";"31";"3340";"803";"19";"0,57";"26";"0,78";"23";"0,69";"88,46";"51";"10";"19,61";"207";"12";"5,8";"369";"224759";"126334";"35,98";"351093";"87,72";"86,84";"197159";"195181";"430";"96";"62392";"22,33";"35";"18";"324130";"3695,54";"1347";"178";"1819";"600,17";"390";"4,74";"4,79";"4,7";"4,77";"13";"14,31";"34,97"
"Автозапчасти / Центральные консоли";"2";"2022-04-26";"26,5";"30";"51448";"9692";"42";"0,08";"67";"0,13";"40";"0,08";"59,7";"46";"12";"26,09";"319";"23";"7,21";"146";"223589";"106264";"32,22";"329853";"80";"80";"178871";"178871";"134";"80";"102761";"59,7";"28";"0";"58800";"2064,92";"1695";"193";"4593";"1638,3";"1546";"4,49";"4,8";"4,44";"4,62";"16";"4,78";"10,31"
"Строительные материалы / Крепления для забора";"2";"2021-04-22";"28,5";"32";"2701";"307";"150";"5,55";"197";"7,29";"72";"2,67";"36,55";"76";"15";"19,74";"290";"23";"7,93";"288";"223451";"16683";"6,95";"240134";"86,36";"84,85";"192972";"189598";"633";"531";"914960";"83,89";"66";"0";"150689";"2375,69";"1304";"110";"7446";"1433,26";"1034";"4,91";"4,93";"4,86";"4,84";"4";"4,5";"8,98"
"Автозапчасти / Колонки рулевого управления";"2";"2021-10-30";"26,5";"30";"855";"103";"33";"3,86";"54";"6,32";"35";"4,09";"64,81";"105";"12";"11,43";"178";"16";"8,99";"62";"223402";"58419";"20,73";"281821";"66,67";"66,67";"148942";"148942";"55";"33";"143208";"60";"27";"0";"155536";"7489,97";"4169";"397";"10623";"3891,97";"4194";"4,61";"4,8";"4,54";"4,65";"1";"0,85";"nan"
"Продукты / Хлебная соломка";"2";"2020-07-01";"16,5";"20";"1173";"155";"23";"1,96";"46";"3,92";"36";"3,07";"78,26";"49";"13";"26,53";"123";"9";"7,32";"367";"222834";"9884";"4,25";"232718";"50";"50";"111417";"111417";"557";"188";"83916";"33,75";"46";"0";"75100";"1836,77";"783";"85";"1516";"415,97";"332,5";"4,65";"4,88";"4,56";"4,66";"4";"8,89";"8,15"
"Автоаксессуары и дополнительное оборудование / Адаптеры для щеток стеклоочистителя";"2";"2020-01-25";"21,5";"25";"5423";"893";"177";"3,26";"280";"5,16";"191";"3,52";"68,21";"301";"35";"11,63";"376";"50";"13,3";"836";"222626";"42675";"16,09";"265301";"72,93";"66,92";"162361";"148981";"1711";"1186";"545558";"69,32";"61";"0";"498866";"8721,44";"727";"33";"3621";"297,59";"214";"4,63";"4,74";"4,52";"4,57";"6";"5,72";"18,84"
"Транспортные средства / Скутеры";"2";"2024-04-19";"0,5";"0,5";"705";"64";"0";"0";"1";"0,14";"1";"0,14";"100";"26";"1";"3,85";"48";"1";"2,08";"2";"222428";"0";"0";"222428";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1238340";"136133,27";"122000";"111214";"111214";"111214";"111214";"4,73";"5";"4,7";"5";"57";"3,37";"0,8"
"Аксессуары для электроники / Охладители для бутылок";"2";"2020-01-25";"27,5";"31";"3194";"1194";"26";"0,81";"31";"0,97";"18";"0,56";"58,06";"52";"9";"17,31";"269";"12";"4,46";"179";"222299";"49161";"18,11";"271460";"75";"75";"166724";"166724";"506";"332";"477243";"65,61";"85";"0";"72300";"1924,92";"992";"750";"12489";"2356,5";"1128,5";"4,69";"5";"4,63";"4,91";"2";"0,23";"1,17"
"Автоаксессуары и дополнительное оборудование / Пороги силовые";"3";"2022-03-10";"26,5";"30";"25240";"4262";"46";"0,18";"76";"0,3";"40";"0,16";"52,63";"78";"12";"15,38";"461";"18";"3,9";"76";"221742";"104685";"32,07";"326427";"100";"100";"221742";"221742";"57";"44";"162712";"77,19";"22";"0";"114040";"5384,96";"2332";"298";"15612";"3300";"1949,5";"4,77";"4,97";"4,73";"4,84";"4";"4,96";"5,16"
"Декор интерьера / Стеклянные клоши";"3";"2020-10-05";"29,5";"33";"6906";"1898";"15";"0,22";"20";"0,29";"17";"0,25";"85";"67";"3";"4,48";"343";"4";"1,17";"132";"221249";"16572";"6,97";"237821";"72,12";"71,98";"159565";"159255";"61";"18";"22894";"29,51";"14";"0";"320128";"1991,37";"1291";"995";"2596";"1752,76";"1819";"4,42";"4,94";"4,38";"4,74";"3";"4,6";"5,65"
"Спортивная одежда / Велокуртки";"2";"2020-01-25";"34,5";"38";"3940";"1099";"48";"1,22";"54";"1,37";"20";"0,51";"37,04";"42";"6";"14,29";"242";"9";"3,72";"58";"220890";"20190";"8,37";"241080";"0";"0";"0";"0";"440";"371";"2114198";"84,32";"228";"0";"88080";"2047,73";"1253";"329";"14114";"5185,7";"4257";"4,7";"4,79";"4,63";"4,68";"nan";"nan";"nan"
"Спортивные аксессуары / Путлища для лошадей";"2";"2020-03-21";"29,5";"33";"239";"27";"22";"9,21";"41";"17,15";"31";"12,97";"75,61";"19";"8";"42,11";"48";"10";"20,83";"104";"220649";"70872";"24,31";"291521";"50";"50";"110324";"110324";"96";"30";"76905";"31,25";"28";"0";"60800";"2727,73";"2043";"461";"3076";"1830,45";"1686";"4,82";"4,73";"4,72";"4,68";"5";"3,68";"5,29"
