"Название предмета";"Сезонность ниши";"Дата обнаружения";"Комиссия FBO";"Комиссия FBS";"Товары, шт.";"Количество новинок";"Товары с остатками, шт.";"% товаров с остатками";"Товары с движением, шт.";"% товаров с движением";"Товары с продажами, шт.";"% товаров с продажами";"% товаров с продажами от товаров с движением";"Бренды";"Бренды с продажами";"% брендов с продажами";"Продавцы";"Продавцы с продажами";"% продавцов с продажами";"Продажи, шт.";"Выручка, ₽";"Упущенная выручка, ₽";"Упущенная выручка %";"Потенциал, ₽";"Средний % выкупа";"Средний % выкупа с учётом возвратов";"Сумма выкупа, ₽";"Сумма выкупа с учётом возвратов, ₽";"Суммарные остатки, шт.";"Замороженный остаток, шт.";"Замороженный остаток в цене, ₽";"Замороженный остаток, %";"Оборачиваемость, дн.";"Минимальная цена, ₽";"Максимальная цена, ₽";"Средняя цена, ₽";"Медианная цена, ₽";"Минимальная цена с продажами, ₽";"Максимальная цена с продажами, ₽";"Средняя цена с продажами, ₽";"Медианная цена с продажами, ₽";"Средний рейтинг";"Средний рейтинг с продажами";"Средний дробный рейтинг";"Средний дробный рейтинг с продажами";"Количество кликов на карточку";"% добавления в корзину";"% оформления заказов"
"Спортивные аксессуары / Пояса для единоборств";"2";"2020-01-25";"29,5";"33";"3762";"235";"822";"21,85";"942";"25,04";"575";"15,28";"61,04";"199";"90";"45,23";"436";"86";"19,72";"13809";"7742874";"448922";"5,48";"8191796";"67,38";"63,46";"5217149";"4913628";"23445";"11389";"7618958";"48,58";"51";"0";"369000";"1294,9";"727";"129";"9347";"1042,97";"674";"4,87";"4,94";"4,8";"4,84";"7";"7,63";"18,04"
"Канцелярские товары / Медицинские карты";"2";"2020-01-25";"24,5";"28";"8265";"784";"858";"10,38";"1060";"12,83";"765";"9,26";"72,17";"285";"100";"35,09";"954";"138";"14,47";"32309";"7729135";"997984";"11,44";"8727119";"84,24";"83,79";"6511023";"6476242";"48978";"27163";"7117539";"55,46";"45";"0";"900000";"1074,85";"420";"53";"5077";"312,3";"248";"4,88";"4,94";"4,82";"4,88";"31";"6,8";"25,11"
"Товары для животных / Шапки для животных";"3";"2020-01-25";"21,5";"25";"8929";"1547";"1478";"16,55";"1740";"19,49";"1263";"14,14";"72,59";"380";"150";"39,47";"896";"184";"20,54";"13635";"7727707";"1141692";"12,87";"8869399";"47,9";"40,69";"3701572";"3144404";"27068";"16219";"10987644";"59,92";"60";"0";"173403";"1864,04";"599,5";"105";"3965";"721,8";"614";"4,89";"4,93";"4,79";"4,81";"23";"6,2";"13,73"
"Посуда и инвентарь / Самовары";"1";"2020-02-21";"29,5";"33";"3484";"462";"39";"1,12";"55";"1,58";"49";"1,41";"89,09";"255";"14";"5,49";"620";"16";"2,58";"984";"7713637";"1631301";"17,46";"9344938";"71,43";"71,43";"5509851";"5509851";"768";"174";"905826";"22,66";"23";"0";"1282665";"12589,98";"4048,5";"210";"62726";"7997,55";"7044";"4,62";"4,89";"4,53";"4,73";"55";"7,35";"11,18"
"Одежда для малышей / Кардиганы для малышей";"2";"2020-01-25";"34,5";"38";"6385";"591";"530";"8,3";"643";"10,07";"432";"6,77";"67,19";"311";"73";"23,47";"500";"103";"20,6";"6711";"7679653";"1240165";"13,9";"8919818";"56,63";"51,36";"4348987";"3944270";"13541";"7910";"8919253";"58,42";"61";"0";"32670";"1969,18";"1413";"145";"6754";"1454,88";"1195";"4,81";"4,86";"4,76";"4,78";"52";"3,33";"14,3"
"Ручной инструмент и оснастка / Стержни клеевые";"2";"2020-01-25";"31,5";"35";"25004";"4181";"645";"2,58";"902";"3,61";"584";"2,34";"64,75";"814";"146";"17,94";"2513";"219";"8,71";"25976";"7669747";"1484786";"16,22";"9154533";"90,93";"90,62";"6974101";"6950325";"24294";"9651";"3301754";"39,73";"28";"0";"2505600";"1524,85";"573";"51";"2655";"354,42";"274";"4,83";"4,92";"4,76";"4,8";"26";"14,21";"22,7"
"Товары для малышей / Ложки для прикорма";"1";"2020-01-25";"26,5";"30";"20307";"4832";"751";"3,7";"918";"4,52";"705";"3,47";"76,8";"534";"121";"22,66";"1198";"138";"11,52";"27455";"7654078";"626180";"7,56";"8280258";"91,38";"91,36";"6994296";"6992766";"51346";"28032";"8648843";"54,59";"56";"0";"900000";"1620,23";"700";"59";"2188";"355,17";"270";"4,88";"4,96";"4,82";"4,87";"36";"9,16";"26,28"
"Мебель офисная и торговое оборудование / Другое торговое оборудование";"1";"2020-01-25";"26,5";"30";"28652";"3647";"917";"3,2";"1275";"4,45";"643";"2,24";"50,43";"530";"106";"20";"1508";"156";"10,34";"4426";"7643310";"2205315";"22,39";"9848625";"83,84";"82,6";"6408151";"6313374";"5312";"3420";"452571731";"64,38";"36";"0";"1000000";"7986,61";"1495";"61";"500000";"2601,44";"1055";"4,71";"4,81";"4,66";"4,72";"12";"9,14";"19,72"
"Канцелярские товары / Дыроколы";"1";"2020-01-25";"29,5";"33";"39656";"7705";"710";"1,79";"849";"2,14";"498";"1,26";"58,66";"521";"103";"19,77";"2371";"156";"6,58";"20481";"7639666";"1476743";"16,2";"9116409";"89,89";"88,97";"6867296";"6797011";"35016";"19721";"11487342";"56,32";"51";"0";"900000";"2432,3";"1053";"76";"14433";"713,94";"417,5";"4,74";"4,91";"4,68";"4,8";"26";"12,21";"20,93"
"Товары для курения / Чаши для кальянов";"1";"2020-06-05";"28,5";"32";"7406";"879";"465";"6,28";"608";"8,21";"462";"6,24";"75,99";"327";"62";"18,96";"547";"70";"12,8";"9716";"7625597";"1383870";"15,36";"9009467";"83,04";"82,61";"6332296";"6299506";"10490";"3458";"2844715";"32,96";"32";"0";"645855";"1048,19";"854";"158";"3795";"907,03";"856";"4,66";"4,82";"4,6";"4,71";"46";"10,91";"26,72"
"Посуда и инвентарь / Тарелки декоративные";"1";"2020-01-25";"29,5";"33";"53646";"3862";"2603";"4,85";"3638";"6,78";"1723";"3,21";"47,36";"1241";"178";"14,34";"2121";"239";"11,27";"10357";"7623824";"8911582";"53,89";"16535406";"88,59";"88,52";"6753946";"6748609";"12426";"6986";"7348003";"56,22";"36";"0";"660264";"2822,61";"1237";"129";"83205";"1198,59";"910";"4,83";"4,89";"4,79";"4,83";"30";"5,44";"10,8"
"Красота / Средства для химической завивки";"1";"2020-01-25";"32,5";"36";"7236";"1242";"184";"2,54";"367";"5,07";"317";"4,38";"86,38";"136";"54";"39,71";"546";"110";"20,15";"11718";"7611722";"1790419";"19,04";"9402141";"86,7";"86,7";"6599363";"6599363";"6254";"1340";"1236966";"21,43";"16";"0";"135254";"1434,44";"1201";"118";"4872";"1167,19";"807";"4,79";"4,89";"4,7";"4,75";"13";"9,12";"14,43"
"Рукоделие / Красители для рукоделия";"2";"2021-04-29";"29,5";"33";"14808";"4033";"1157";"7,81";"1591";"10,74";"1138";"7,69";"71,53";"235";"80";"34,04";"812";"91";"11,21";"17476";"7604146";"1039229";"12,02";"8643375";"87,33";"87,04";"6640701";"6618649";"23937";"9863";"6046386";"41,2";"41";"0";"1000000";"814,02";"546";"57";"14005";"467,47";"338";"4,84";"4,89";"4,78";"4,81";"18";"11,32";"26,19"
"Ручной инструмент и оснастка / Детекторы дронов";"2";"2024-12-06";"31,5";"35";"182";"12";"19";"10,44";"26";"14,29";"18";"9,89";"69,23";"15";"5";"33,33";"71";"11";"15,49";"103";"7598330";"2401959";"24,02";"10000289";"100";"100";"7598330";"7598330";"104";"70";"1729374";"67,31";"30";"0";"2320366";"70438,37";"50642";"4458";"99441";"44306,06";"36280,5";"4,82";"4,75";"4,76";"4,65";"4";"9,66";"10"
"Декор интерьера / Ловцы снов";"1";"2020-01-25";"29,5";"33";"45972";"11805";"425";"0,92";"600";"1,31";"418";"0,91";"69,67";"363";"67";"18,46";"1571";"90";"5,73";"12341";"7594363";"1407977";"15,64";"9002340";"96,97";"96,97";"7364254";"7364254";"9818";"4387";"3004107";"44,68";"24";"0";"300000";"1187,7";"814";"125";"3997";"695,9";"648,5";"4,85";"4,96";"4,8";"4,89";"3";"8,18";"10,12"
"Сантехника / Счетчики газа";"2";"2020-07-23";"27,5";"31";"4959";"776";"191";"3,85";"398";"8,03";"336";"6,78";"84,42";"98";"32";"32,65";"303";"49";"16,17";"2473";"7584694";"3339353";"30,57";"10924047";"81,19";"78,22";"6158013";"5932748";"1648";"556";"1779553";"33,74";"20";"0";"61181";"2828,93";"1897";"86";"8520";"3464,98";"3153";"4,74";"4,89";"4,66";"4,76";"15";"5,62";"15,97"
"Мебель малых форм / Стулья складные";"2";"2020-01-25";"26,5";"30";"15359";"2461";"303";"1,97";"421";"2,74";"256";"1,67";"60,81";"390";"66";"16,92";"1584";"110";"6,94";"3913";"7572547";"1477276";"16,32";"9049823";"78,79";"78,79";"5966410";"5966410";"4344";"2016";"8163138";"46,41";"33";"0";"1295999";"7541,6";"4284";"108";"26479";"3691,12";"2430";"4,63";"4,82";"4,56";"4,74";"26";"5,6";"7,5"
"Автозапчасти / Двигатели вентилятора";"2";"2021-10-03";"26,5";"30";"19966";"1663";"588";"2,95";"917";"4,59";"559";"2,8";"60,96";"311";"54";"17,36";"508";"77";"15,16";"1838";"7567772";"4094545";"35,11";"11662317";"71,3";"65,78";"5395821";"4978080";"2315";"1254";"5256202";"54,17";"38";"0";"9559232";"11817,78";"5081";"337";"350018";"5316,85";"3297";"4,62";"4,75";"4,55";"4,62";"8";"4,29";"12,67"
"Хозяйственные товары / Губки меламиновые";"1";"2020-02-08";"29,5";"33";"15983";"3255";"243";"1,52";"337";"2,11";"210";"1,31";"62,31";"1011";"83";"8,21";"1969";"126";"6,4";"46087";"7562624";"557829";"6,87";"8120453";"95,49";"95,45";"7221550";"7218525";"49882";"7290";"1767441";"14,61";"32";"0";"337500";"683,02";"464";"45";"5084";"309,24";"241";"4,69";"4,79";"4,58";"4,59";"95";"15,67";"33,06"
"Товары для животных / Коврики-подстилки для животных";"1";"2020-01-25";"21,5";"25";"48676";"13342";"646";"1,33";"872";"1,79";"561";"1,15";"64,33";"549";"115";"20,95";"2257";"159";"7,04";"8754";"7558467";"1624289";"17,69";"9182756";"84,35";"83,18";"6375567";"6287133";"13229";"6398";"6814793";"48,36";"45";"0";"560224";"2395,01";"1346";"156";"12584";"978,7";"771";"4,75";"4,93";"4,68";"4,82";"8";"6,43";"10,55"
"Продукты / Горячий шоколад";"2";"2020-01-25";"21,5";"25";"4883";"156";"243";"4,98";"510";"10,44";"415";"8,5";"81,37";"420";"102";"24,29";"922";"148";"16,05";"9312";"7558274";"2232506";"22,8";"9790780";"94,9";"94,9";"7172802";"7172802";"8282";"3766";"3771579";"45,47";"27";"0";"1000000";"1628,52";"735";"116";"8459";"1209,61";"777";"4,79";"4,91";"4,7";"4,8";"21";"9,27";"22,58"
"Автоаксессуары и дополнительное оборудование / Емкости для масел и горючего";"2";"2020-01-25";"21,5";"25";"16067";"2242";"538";"3,35";"763";"4,75";"474";"2,95";"62,12";"619";"97";"15,67";"2045";"181";"8,85";"6343";"7514353";"1361572";"15,34";"8875925";"84,88";"84,25";"6378183";"6330842";"8680";"3625";"5315369";"41,76";"41";"0";"4923000";"9121,97";"1841,5";"87";"9041";"1543,36";"1275,5";"4,73";"4,9";"4,65";"4,77";"19";"6,49";"14,28"
"Продукты / Попкорн";"1";"2020-01-25";"21,5";"25";"6812";"337";"310";"4,55";"543";"7,97";"442";"6,49";"81,4";"380";"76";"20";"639";"124";"19,41";"19383";"7503192";"1259058";"14,37";"8762250";"95,27";"95,24";"7148291";"7146040";"17341";"4307";"1787785";"24,84";"27";"0";"26713";"973,42";"619";"99";"6224";"677,33";"473,5";"4,7";"4,85";"4,61";"4,71";"82";"13,2";"20,94"
"Ручной инструмент и оснастка / Съемники подшипников";"1";"2020-03-01";"30,5";"34";"15129";"2081";"367";"2,43";"556";"3,68";"332";"2,19";"59,71";"359";"97";"27,02";"1330";"122";"9,17";"4011";"7502171";"1242115";"14,2";"8744286";"88,89";"88,89";"6668680";"6668680";"4802";"2526";"7911606";"52,6";"36";"0";"899999";"4165,37";"2043,5";"255";"128283";"2651,86";"1191";"4,78";"4,89";"4,7";"4,75";"3";"4,24";"7,52"
"Товары для животных / Попоны для животных";"2";"2020-01-25";"21,5";"25";"6439";"914";"592";"9,19";"682";"10,59";"429";"6,66";"62,9";"188";"72";"38,3";"565";"87";"15,4";"5538";"7494357";"1738584";"18,83";"9232941";"64,62";"62,77";"4842853";"4704208";"8233";"3636";"7506252";"44,16";"45";"0";"261438";"2755,2";"1524";"161";"15038";"2782,53";"1804";"4,81";"4,84";"4,74";"4,76";"10";"4,36";"9,8"
"Фото и Видеотехника / Диски для записи";"2";"2020-01-25";"28,5";"32";"9571";"716";"370";"3,87";"488";"5,1";"357";"3,73";"73,16";"130";"29";"22,31";"462";"54";"11,69";"18773";"7491438";"908471";"10,82";"8399909";"90,48";"90,36";"6778253";"6769263";"20553";"6257";"6938205";"30,44";"33";"0";"149625";"2292,15";"1469";"104";"12678";"940,66";"575";"4,79";"4,92";"4,72";"4,79";"26";"13";"28,86"
"Ручной инструмент и оснастка / Шприцы плунжерные";"1";"2020-03-02";"31,5";"35";"7934";"813";"442";"5,57";"610";"7,69";"431";"5,43";"70,66";"428";"106";"24,77";"1405";"175";"12,46";"10414";"7477287";"823154";"9,92";"8300441";"96,05";"95,86";"7181934";"7167727";"19015";"10324";"7791941";"54,29";"55";"0";"5804935";"12878,83";"1370";"77";"24082";"1124,24";"646";"4,74";"4,9";"4,66";"4,77";"12";"8,67";"21,3"
"Автозапчасти / Термостаты двигателя";"2";"2021-01-26";"26,5";"30";"133822";"11266";"2414";"1,8";"3158";"2,36";"1432";"1,07";"45,35";"652";"172";"26,38";"1310";"318";"24,27";"7131";"7463516";"1564624";"17,33";"9028140";"82,16";"80,61";"6132025";"6016340";"11187";"5657";"8619263";"50,57";"47";"0";"1302555";"2594,27";"1641";"60";"66612";"1339,52";"903";"4,55";"4,72";"4,51";"4,61";"11";"5,57";"11,76"
"Книжная продукция и диски / Метафорические ассоциативные карты";"1";"2020-01-29";"29,5";"33";"18569";"2667";"834";"4,49";"1002";"5,4";"628";"3,38";"62,67";"327";"90";"27,52";"1110";"169";"15,23";"12704";"7447809";"824973";"9,97";"8272782";"92,28";"92,19";"6872838";"6866135";"32046";"21043";"16720579";"65,66";"76";"0";"900000";"1893,91";"853";"84";"10267";"931,89";"727";"4,87";"4,96";"4,82";"4,89";"24";"7,82";"17,85"
"Хозяйственные товары / Шары для стиральной машины";"2";"2020-01-25";"29,5";"33";"39674";"13709";"630";"1,59";"881";"2,22";"549";"1,38";"62,32";"1592";"216";"13,57";"3496";"338";"9,67";"27269";"7443449";"1645660";"18,11";"9089109";"95,57";"95,53";"7113704";"7110727";"31882";"12988";"4189821";"40,74";"35";"0";"900000";"654,07";"545";"86";"4047";"344,71";"279";"4,43";"4,51";"4,34";"4,42";"48";"14,52";"25,16"
"Садовые инструменты и полив / Наборы садовых инструментов";"3";"2020-01-25";"29,5";"33";"65607";"15145";"592";"0,9";"849";"1,29";"492";"0,75";"57,95";"1379";"168";"12,18";"4082";"279";"6,83";"10545";"7436449";"1557096";"17,31";"8993545";"92,13";"91,52";"6851200";"6805838";"14873";"8176";"9480827";"54,97";"42";"0";"4900000";"2135,16";"929";"97";"17557";"1149,93";"583";"4,77";"4,84";"4,69";"4,75";"28";"9,87";"17,22"
"Красота / Средства для снятия лака";"1";"2020-01-25";"32,5";"36";"12963";"2092";"289";"2,23";"614";"4,74";"484";"3,73";"78,83";"635";"125";"19,69";"1731";"189";"10,92";"34525";"7425606";"409728";"5,23";"7835334";"92,87";"92,86";"6896160";"6895418";"55429";"25641";"5432851";"46,26";"48";"0";"900000";"1183,27";"548";"72";"1829";"348,67";"261,5";"4,74";"4,93";"4,65";"4,77";"38";"13,81";"28,69"
"Аксессуары для обуви / Кремы для обуви";"2";"2020-01-25";"34,5";"38";"52045";"17400";"1026";"1,97";"1551";"2,98";"1049";"2,02";"67,63";"1352";"190";"14,05";"2300";"305";"13,26";"17081";"7414117";"1121787";"13,14";"8535904";"93,16";"93,04";"6906991";"6898094";"23942";"10827";"4595965";"45,22";"42";"0";"69800";"514,09";"442";"35";"3267";"476,03";"410";"4,71";"4,85";"4,62";"4,71";"15";"10,73";"27,75"
"Канцелярские товары / Планшеты канцелярские";"1";"2020-01-25";"29,5";"33";"23357";"2818";"1294";"5,54";"1665";"7,13";"1062";"4,55";"63,78";"465";"136";"29,25";"1383";"192";"13,88";"23883";"7408449";"1924734";"20,62";"9333183";"78,93";"77,81";"5847489";"5764514";"42066";"22092";"13292829";"52,52";"53";"0";"1500000";"2612,12";"687";"92";"4279";"565,47";"407";"4,79";"4,93";"4,72";"4,84";"21";"8,36";"24,63"
"Посуда и инвентарь / Центрифуги для салата";"2";"2020-01-25";"29,5";"33";"7016";"1001";"119";"1,7";"185";"2,64";"131";"1,87";"70,81";"608";"53";"8,72";"1851";"87";"4,7";"7398";"7356167";"791124";"9,71";"8147291";"88,33";"87,62";"6497702";"6445474";"4439";"1118";"1287201";"25,19";"18";"0";"229425";"2559,19";"1500";"502";"10285";"1458,68";"1161";"4,66";"4,71";"4,58";"4,59";"106";"8,41";"16,89"
"Текстиль для дома / Фиксаторы для ковриков";"1";"2020-01-25";"24,5";"28";"7384";"1214";"280";"3,79";"373";"5,05";"269";"3,64";"72,12";"444";"92";"20,72";"949";"138";"14,54";"40802";"7348833";"373110";"4,83";"7721943";"94,63";"94,47";"6954201";"6942443";"41884";"11127";"3936120";"26,57";"31";"0";"316500";"1062,73";"506";"56";"3687";"331,91";"260";"4,67";"4,86";"4,52";"4,67";"86";"9,53";"25,55"
"Автоаксессуары и дополнительное оборудование / Таблички для авто";"1";"2020-01-25";"26,5";"30";"38730";"2929";"1171";"3,02";"1580";"4,08";"902";"2,33";"57,09";"914";"139";"15,21";"2504";"255";"10,18";"22403";"7335388";"1124765";"13,29";"8460153";"85,42";"84,81";"6265888";"6221143";"32876";"12382";"7551388";"37,66";"44";"0";"407358";"1299,98";"892";"42";"8795";"675,26";"512";"4,74";"4,85";"4,67";"4,75";"36";"6,31";"26,51"
"Строительные материалы / Мешки строительные";"2";"2020-03-15";"20,5";"24";"6020";"746";"237";"3,94";"305";"5,07";"170";"2,82";"55,74";"333";"38";"11,41";"784";"68";"8,67";"8126";"7334027";"676819";"8,45";"8010846";"92,73";"92,56";"6800843";"6788375";"6950";"2495";"3488798";"35,9";"26";"0";"332813";"2008,63";"937";"39";"5163";"763,84";"576";"4,71";"4,91";"4,61";"4,76";"29";"8,7";"23,43"
"Спортивный товар / Маты спортивные";"2";"2020-02-04";"27,5";"31";"9613";"1628";"182";"1,89";"245";"2,55";"145";"1,51";"59,18";"171";"32";"18,71";"685";"32";"4,67";"1748";"7330766";"827694";"10,15";"8158460";"83,35";"81,6";"6110193";"5981905";"1931";"502";"2528660";"26";"33";"0";"901600";"11214,39";"3928";"708";"16904";"4022,64";"3509";"4,86";"4,9";"4,8";"4,81";"11";"6,99";"8,97"
"Красота / Повязки косметические";"2";"2020-01-27";"32,5";"36";"14406";"3449";"660";"4,58";"1036";"7,19";"789";"5,48";"76,16";"776";"144";"18,56";"1984";"202";"10,18";"23192";"7324563";"1874964";"20,38";"9199527";"88,52";"88,35";"6483703";"6471251";"20519";"7390";"2723961";"36,02";"27";"0";"26268";"624,09";"552";"58";"2733";"347,77";"267";"4,85";"4,91";"4,76";"4,79";"19";"9,18";"12,54"
"Товары для животных / Влажные салфетки для животных";"1";"2020-01-25";"21,5";"25";"12559";"3288";"311";"2,48";"430";"3,42";"340";"2,71";"79,07";"397";"91";"22,92";"1265";"144";"11,38";"21769";"7322124";"1007780";"12,1";"8329904";"95";"94,98";"6956018";"6954553";"20127";"8677";"4239916";"43,11";"28";"0";"588235";"2249,66";"739";"102";"2409";"426,11";"326";"4,91";"4,99";"4,82";"4,89";"34";"14,61";"28,51"
"Строительные материалы / Теплоизоляция";"1";"2020-07-30";"20,5";"24";"15893";"1826";"957";"6,02";"1710";"10,76";"1143";"7,19";"66,84";"475";"147";"30,95";"1030";"209";"20,29";"6654";"7318359";"932466";"11,3";"8250825";"89,47";"89,09";"6547736";"6519926";"10452";"6065";"9219627";"58,03";"47";"0";"332813";"4045,7";"1816";"83";"28980";"1634,7";"922";"4,83";"4,91";"4,75";"4,8";"18";"6,06";"12,21"
"Посуда и инвентарь / Кубики для охлаждения";"2";"2020-01-25";"21,5";"25";"30535";"5848";"410";"1,34";"516";"1,69";"304";"1";"58,91";"805";"92";"11,43";"1562";"122";"7,81";"10184";"7317514";"1228887";"14,38";"8546401";"86,95";"85,12";"6362578";"6228668";"6777";"2581";"2121156";"38,08";"20";"0";"1577700";"1756,85";"818";"99";"26112";"1087,81";"636";"4,74";"4,92";"4,65";"4,79";"56";"10,18";"24,41"
"Товары для отдыха и кемпинга / Фильтрующие насосы для бассейнов";"3";"2020-01-27";"28,5";"32";"9071";"1242";"290";"3,2";"368";"4,06";"187";"2,06";"50,82";"191";"19";"9,95";"972";"71";"7,3";"1394";"7307801";"995372";"11,99";"8303173";"93,08";"93,08";"6802101";"6802101";"12944";"11268";"82065510";"87,05";"279";"0";"855000";"9859,72";"3301";"87";"46213";"6523,24";"3837";"4,82";"4,91";"4,75";"4,8";"7";"5,54";"6,84"
"Спецодежда и СИЗы / Комбинезоны медицинские";"2";"2020-01-25";"33,5";"37";"615";"28";"116";"18,86";"133";"21,63";"112";"18,21";"84,21";"120";"29";"24,17";"154";"29";"18,83";"1833";"7307040";"1046598";"12,53";"8353638";"91,18";"91,18";"6662559";"6662559";"1051";"184";"860488";"17,51";"17";"0";"53621";"2723,73";"2252";"247";"6952";"3969,06";"3913";"4,76";"4,9";"4,65";"4,75";"10";"8,85";"42,8"
"Автозапчасти / Переключатели автомобильные";"1";"2021-04-22";"26,5";"30";"34126";"3537";"1486";"4,35";"2303";"6,75";"1438";"4,21";"62,44";"673";"215";"31,95";"1416";"345";"24,36";"8683";"7299986";"1499377";"17,04";"8799363";"84,91";"83";"6198418";"6058988";"10696";"5533";"5152107";"51,73";"37";"0";"214201";"2476,73";"1518";"75";"18749";"1095,29";"785";"4,63";"4,72";"4,58";"4,62";"9";"7,85";"19,55"
"Отделочные материалы / Масло деревозащитное";"1";"2020-01-25";"28,5";"32";"19012";"1303";"1224";"6,44";"1625";"8,55";"845";"4,44";"52";"386";"123";"31,87";"749";"153";"20,43";"6644";"7290073";"669760";"8,41";"7959833";"94,37";"94,37";"6879642";"6879642";"14027";"9019";"15328868";"64,3";"63";"0";"300000";"3763,86";"2241";"119";"19199";"1851,2";"1174";"4,81";"4,96";"4,76";"4,86";"7";"4,85";"9,01"
"Техника для кухни / Чаши для мультиварок";"1";"2020-01-29";"24,5";"28";"16741";"1984";"186";"1,11";"262";"1,57";"196";"1,17";"74,81";"105";"34";"32,38";"449";"58";"12,92";"3942";"7275844";"1304040";"15,2";"8579884";"80";"80";"5820675";"5820675";"4484";"1393";"4006457";"31,07";"34";"0";"167361";"2739,12";"2627";"299";"9552";"2828,73";"2416";"4,78";"4,93";"4,69";"4,8";"22";"6,91";"17,26"
"Аксессуары для малышей / Повязки на голову для малышей";"1";"2020-01-25";"34,5";"38";"12332";"798";"1436";"11,64";"1929";"15,64";"1405";"11,39";"72,84";"794";"173";"21,79";"1222";"190";"15,55";"20937";"7275683";"1919148";"20,87";"9194831";"70,34";"70,01";"5117715";"5093706";"29568";"16719";"6608276";"56,54";"42";"0";"900000";"526,76";"315";"32";"1227";"342,6";"316";"4,86";"4,93";"4,79";"4,85";"15";"6,39";"15,91"
"Товары для взрослых / Наборы игрушек для взрослых";"1";"2020-04-15";"29,5";"33";"13332";"577";"263";"1,97";"335";"2,51";"190";"1,43";"56,72";"631";"55";"8,72";"878";"67";"7,63";"4372";"7274197";"913467";"11,16";"8187664";"82,83";"82,76";"6025217";"6020125";"6498";"3305";"3809488";"50,86";"45";"0";"598281";"3957,6";"1679";"174";"11046";"1428,13";"975";"4,5";"4,7";"4,42";"4,54";"65";"3,96";"13,3"
"Для праздника / Другие аксессуары для праздника";"2";"2020-01-25";"32,5";"36";"246720";"28325";"4634";"1,88";"5841";"2,37";"2525";"1,02";"43,23";"2618";"437";"16,69";"5218";"699";"13,4";"18965";"7272180";"3930602";"35,09";"11202782";"88,84";"88,71";"6460605";"6451151";"45919";"32719";"16124633";"71,25";"73";"0";"1165418";"2098,97";"969,5";"16";"20055";"591,68";"353";"4,74";"4,78";"4,7";"4,7";"11";"8,27";"14"
"Строительные материалы / Ленты малярные";"1";"2020-01-25";"26,5";"30";"25424";"3008";"1051";"4,13";"1347";"5,3";"847";"3,33";"62,88";"768";"154";"20,05";"2083";"220";"10,56";"19695";"7260730";"874479";"10,75";"8135209";"94,48";"94,39";"6859938";"6853403";"35887";"18365";"8615430";"51,17";"55";"0";"900029";"1381,72";"683,5";"59";"34055";"690,94";"377";"4,82";"4,89";"4,76";"4,8";"5";"10,38";"17,37"
"Товары для животных / Контейнеры для корма";"1";"2020-01-25";"21,5";"25";"16205";"3584";"298";"1,84";"382";"2,36";"255";"1,57";"66,75";"423";"81";"19,15";"1651";"100";"6,06";"10865";"7247323";"573641";"7,33";"7820964";"85,5";"84,55";"6196461";"6127612";"15131";"6406";"5061431";"42,34";"42";"0";"436174";"1867,55";"1198,5";"169";"14282";"1090,58";"622";"4,75";"4,94";"4,67";"4,83";"51";"7,09";"17,37"
"Аксессуары для электроники / Аккумуляторные элементы питания";"2";"2024-03-23";"29,5";"33";"24770";"249";"2006";"8,1";"2512";"10,14";"978";"3,95";"38,93";"620";"164";"26,45";"1234";"218";"17,67";"17441";"7243243";"40186543";"84,73";"47429786";"93,89";"93,89";"6800681";"6800681";"104027";"60061";"51831535";"57,74";"179";"0";"1000000";"1940,69";"1092";"28";"15699";"922,88";"583";"4,78";"4,92";"4,68";"4,76";"41";"6,49";"18,18"
"Автоаксессуары и дополнительное оборудование / Защита картера";"2";"2020-01-25";"26,5";"30";"22311";"2168";"600";"2,69";"941";"4,22";"522";"2,34";"55,47";"328";"54";"16,46";"408";"79";"19,36";"3363";"7240528";"1112920";"13,32";"8353448";"84,92";"83,02";"6148656";"6011086";"4229";"2145";"4567643";"50,72";"38";"0";"5085182";"6904,72";"5175";"138";"14689";"3381,19";"3273,5";"4,67";"4,81";"4,61";"4,69";"8";"5,53";"11,64"
"Аксессуары для волос / Китайские палочки для волос";"1";"2020-01-25";"34,5";"38";"29248";"8669";"743";"2,54";"1157";"3,96";"968";"3,31";"83,66";"287";"120";"41,81";"1311";"162";"12,36";"23264";"7240452";"3045341";"29,61";"10285793";"84,18";"84,1";"6095012";"6089220";"25768";"12513";"4028929";"48,56";"33";"0";"176070";"1132,26";"593";"83";"4618";"346,39";"276";"4,84";"4,89";"4,75";"4,76";"72";"7,67";"17,39"
"Текстиль для дома / Полотенца-пончо";"2";"2020-01-25";"29,5";"33";"7341";"1092";"277";"3,77";"390";"5,31";"314";"4,28";"80,51";"340";"51";"15";"686";"69";"10,06";"6822";"7238129";"1932947";"21,08";"9171076";"84,81";"84,81";"6138657";"6138657";"6265";"2648";"2350131";"42,27";"28";"0";"900000";"1815,65";"762";"375";"5340";"1052,14";"947,5";"4,84";"4,92";"4,75";"4,81";"21";"5,72";"17,96"
"Товары для отдыха и кемпинга / Угольные грили";"2";"2020-01-27";"28,5";"32";"10138";"2438";"67";"0,66";"83";"0,82";"63";"0,62";"75,9";"194";"17";"8,76";"581";"23";"3,96";"1068";"7222881";"1418494";"16,42";"8641375";"63,16";"63,16";"4561972";"4561972";"1282";"343";"2605668";"26,76";"36";"0";"1000000";"17597,49";"5236";"571";"51933";"8414,71";"5987";"4,65";"4,8";"4,55";"4,63";"56";"6,49";"13,22"
